,SubjectID,TestType,TotalTrials,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,Mono,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,Threshold,Std
56,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,57,39:21.9,1,4.898102045059204,0.6971020450592045,1,0,4.219,57,1,4.201,126,-56,7,0,3,10,26,16,2,5,23,6,17,3,24,12,19,4,20,17,13.12,3.2594489969333855
57,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,58,39:32.2,1,,,2,0,3.547,58,0,4.667,306,32,5,0,25,14,31,11,14,3,16,6,4,12,20,17,1,17,26,17,13.12,3.2594489969333855
58,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,59,39:43.3,1,,,2,0,1.318,59,0,4.208,270,56,8,0,30,10,1,3,6,2,27,4,3,5,16,16,23,11,30,1,13.12,3.2594489969333855
59,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,60,39:53.1,1,5.055558919906616,0.6045589199066166,1,0,6.426,60,1,4.451,342,56,7,0,26,10,27,8,7,4,23,3,17,11,24,16,20,12,1,17,13.12,3.2594489969333855
60,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,61,40:43.1,1,5.587511063,0.6285110626220707,1,0,5.404,61,1,4.959,306,-32,6,0,10,9,21,5,12,12,28,3,29,6,24,8,20,17,1,17,13.12,3.2594489969333855
61,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,62,40:53.8,1,,,2,0,7.269,62,0,4.104,108,0,8,0,14,9,1,1,12,8,13,16,15,2,4,4,19,6,10,3,13.12,3.2594489969333855
62,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,63,41:04.1,1,,,2,0,4.69,63,0,4.409,18,-32,6,0,6,15,12,1,14,11,29,8,24,6,20,4,1,17,26,17,13.12,3.2594489969333855
63,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,64,41:14.6,1,5.067687749862671,0.4256877498626705,1,0,3.957,64,1,4.642,72,0,6,0,13,9,11,11,3,5,8,16,9,8,25,6,20,17,1,17,13.12,3.2594489969333855
64,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,65,41:25.0,1,,,2,0,1.364,65,0,4.543,306,-32,6,0,10,9,6,2,13,6,3,11,4,8,18,12,20,17,1,17,13.12,3.2594489969333855
65,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,66,41:35.2,1,4.760099172592163,0.5690991725921632,1,0,1.36,66,1,4.191,108,0,8,0,14,15,12,1,1,8,28,2,4,4,16,12,18,3,5,16,13.12,3.2594489969333855
66,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,67,41:45.0,1,,,2,0,6.701,67,0,4.447,198,-56,4,0,4,9,20,2,14,1,19,16,1,17,26,17,11,17,6,17,13.12,3.2594489969333855
67,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,68,41:55.0,1,4.9815099239349365,0.6825099239349361,1,0,4.746,68,1,4.299,324,0,7,0,20,10,1,4,2,3,14,6,8,12,4,16,30,11,20,17,13.12,3.2594489969333855
68,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,69,42:05.2,1,,,2,0,6.831,69,0,4.293,90,32,7,0,22,14,6,6,2,11,15,2,16,3,30,1,25,8,20,17,13.12,3.2594489969333855
69,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,70,42:15.3,1,5.100170135498047,0.6371701354980468,1,0,1.654,70,1,4.463,216,0,7,0,17,9,6,11,2,12,3,2,28,1,24,6,5,16,20,17,13.12,3.2594489969333855
70,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,71,42:25.8,1,5.020776987075806,0.5177769870758056,1,0,4.845,71,1,4.503,306,32,4,0,25,9,20,6,22,4,15,3,1,17,26,17,11,17,6,17,13.12,3.2594489969333855
71,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,72,42:36.1,1,,,2,0,7.178,72,0,4.78,90,32,6,0,22,7,31,3,15,1,16,5,5,11,20,2,1,17,26,17,13.12,3.2594489969333855
72,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,73,42:46.7,0,8.559348106384277,,4,0,3.024,73,0,4.556,162,32,8,0,23,14,6,12,1,3,13,6,28,1,17,5,9,11,5,16,13.12,3.2594489969333855
73,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,74,42:57.4,1,,,2,0,1.509,74,0,4.287,72,0,4,0,13,15,20,6,8,5,19,8,1,17,26,17,11,17,6,17,13.12,3.2594489969333855
74,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,75,43:07.4,1,6.040695190429688,1.1656951904296875,1,0,4.22,75,1,4.875,234,-32,7,0,9,15,11,4,13,8,7,5,8,6,29,12,20,11,1,17,13.12,3.2594489969333855
75,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,76,43:28.8,1,,,2,0,5.319,76,0,4.284,18,32,8,0,21,10,26,2,14,11,3,16,4,8,17,4,5,12,10,1,13.12,3.2594489969333855
76,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,77,43:39.4,1,4.891131878,0.6651318778991699,1,0,7.825,77,1,4.226,234,32,6,0,24,15,11,16,7,12,3,3,16,1,19,4,20,17,1,17,13.12,3.2594489969333855
77,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,78,43:49.8,1,5.832441806793213,1.7374418067932131,1,0,4.546,78,1,4.095,180,0,4,0,16,7,21,11,2,12,25,16,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
78,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,79,44:00.0,1,,,2,0,7.803,79,0,4.288,270,-56,5,0,5,14,26,11,7,3,15,16,24,6,20,17,1,17,11,17,13.12,3.2594489969333855
79,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,80,44:10.0,1,,,2,0,7.229,80,0,4.151,72,0,7,0,13,9,11,3,22,11,8,5,29,4,18,1,10,6,20,17,13.12,3.2594489969333855
80,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,81,44:20.0,1,5.379930019378662,0.666930019,1,0,3.995,81,1,4.713,18,32,4,0,21,7,2,5,23,12,10,16,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
81,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,82,44:30.5,1,5.145177841186523,0.5591778411865231,1,0,4.013,82,1,4.586,252,0,5,0,18,15,26,11,13,1,28,2,10,12,20,17,1,17,11,17,13.12,3.2594489969333855
82,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,83,44:41.1,1,,,2,0,4.888,83,0,4.632,342,56,7,0,26,10,27,2,3,4,23,1,16,5,30,16,10,12,20,17,13.12,3.2594489969333855
83,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,84,44:51.3,1,,,2,0,7.383,84,0,4.101,252,0,8,0,18,14,11,4,12,1,14,2,2,3,15,6,16,16,18,5,13.12,3.2594489969333855
84,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,85,45:12.8,1,,,2,0,7.756,85,0,4.863,342,56,5,0,26,9,13,8,3,5,24,4,20,3,1,17,26,17,11,17,13.12,3.2594489969333855
85,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,86,45:23.5,1,5.849512100219727,1.1215121002197268,1,0,2.321,86,1,4.728,162,-32,8,0,8,15,20,4,6,16,22,6,7,11,23,5,10,12,5,2,13.12,3.2594489969333855
86,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,87,45:44.2,1,5.628889799118042,0.854889799,1,0,7.301,87,1,4.774,234,32,4,0,24,7,6,3,28,12,29,2,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
87,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,88,45:55.2,1,,,2,0,2.512,88,0,4.444,234,32,5,0,24,14,12,4,27,8,3,12,19,3,20,17,1,17,26,17,13.12,3.2594489969333855
88,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,89,46:15.8,1,4.8783791065216064,0.7293791065216064,1,0,6.664,89,1,4.149,72,0,4,0,13,10,11,16,16,12,5,5,20,17,1,17,26,17,6,17,13.12,3.2594489969333855
89,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,90,46:26.1,1,,,2,0,2.146,90,0,4.365,306,32,4,0,25,7,21,3,13,4,16,1,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
90,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,91,46:36.3,1,5.248748064041138,0.9857480640411378,1,0,6.857,91,1,4.263,252,0,8,0,18,15,26,5,20,12,14,1,2,2,29,3,15,6,18,8,13.12,3.2594489969333855
91,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,92,46:56.8,1,4.902029991149902,0.8100299911499027,1,0,6.7,92,1,4.092,144,0,4,0,15,10,1,6,14,16,10,4,20,17,26,17,11,17,6,17,13.12,3.2594489969333855
92,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,93,47:06.9,1,,,2,0,1.939,93,0,4.244,90,32,8,0,22,15,6,8,20,5,14,1,29,11,8,4,10,3,18,16,13.12,3.2594489969333855
93,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,94,47:17.0,1,,,2,0,2.035,94,0,4.113,90,32,5,0,22,9,11,4,16,1,24,12,10,8,20,17,1,17,26,17,13.12,3.2594489969333855
94,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,95,47:37.3,1,5.133777856826782,0.7397778568267821,1,0,1.269,95,1,4.394,162,-32,5,0,8,9,6,3,13,1,29,4,20,16,1,17,26,17,11,17,13.12,3.2594489969333855
95,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,96,47:47.8,1,5.534227132797241,0.6162271327972411,1,0,5.416,96,1,4.918,18,-32,8,0,6,15,21,2,7,16,27,8,4,5,16,6,5,12,25,1,13.12,3.2594489969333855
96,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,97,48:08.7,1,5.6536500453948975,0.9136500453948972,1,0,7,97,1,4.74,162,32,6,0,23,7,21,6,13,8,14,3,5,2,25,5,20,17,1,17,13.12,3.2594489969333855
97,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,98,48:29.5,1,5.456487894058228,0.6434878940582278,1,0,7.236,98,1,4.813,36,0,4,0,12,14,14,5,29,4,10,2,20,17,1,17,26,17,11,17,13.12,3.2594489969333855
98,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,99,48:40.3,1,4.557524919509888,0.5535249195098881,1,0,4.082,99,1,4.004,18,32,8,0,21,15,20,8,2,11,13,1,16,12,8,6,30,5,9,2,13.12,3.2594489969333855
99,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,100,50:54.9,1,4.656719923019409,0.5567199230194095,1,0,3.869,100,1,4.1,306,32,5,0,25,7,21,6,22,1,15,12,18,3,20,17,1,17,26,17,13.12,3.2594489969333855
100,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,101,51:19.2,1,,,2,0,4.337,101,0,4.392,180,0,7,1,16,10,21,6,27,4,14,3,23,16,24,1,20,11,1,17,13.12,3.2594489969333855
101,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,102,51:29.9,1,,,2,0,7.025,102,0,4.3,234,-32,8,1,9,7,1,11,26,2,3,1,28,6,16,16,15,8,30,5,13.12,3.2594489969333855
102,5,Behaviour_MultipleSources_MonoSpatialised,200,2023-08-02_13-27-35,103,51:40.3,1,,,2,0,3.903,103,0,4.604,198,-56,6,1,4,7,11,8,13,12,15,4,18,6,25,11,20,17,1,17,13.12,3.2594489969333855
