,SubjectID,TestType,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,index,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,TargetSource
74,1,Behaviour_MultipleSources,2023-04-24_10-22-48,75,43:13.4,1,,,2,0,4.058,0,75,0,4.124,72,0,7,13,14,21,13,3,5,8,7,4,8,9,6,25,2,20,17,right
75,1,Behaviour_MultipleSources,2023-04-24_10-22-48,76,43:23.0,1,5.464402198791504,0.810402199,1,0,4.635,0,76,1,4.654,0,0,7,11,11,12,12,3,8,28,7,4,2,30,1,10,4,20,17,front
76,1,Behaviour_MultipleSources,2023-04-24_10-22-48,77,43:33.2,0,6.724575042724609,,4,0,4.888,0,77,0,4.619,180,0,7,16,10,6,12,27,13,22,4,15,16,30,7,5,8,20,17,back
77,1,Behaviour_MultipleSources,2023-04-24_10-22-48,78,43:43.4,1,,,2,0,4.439,0,78,0,4.674,0,0,7,11,10,27,8,7,16,28,1,16,4,9,12,5,13,20,17,front
78,1,Behaviour_MultipleSources,2023-04-24_10-22-48,79,43:53.6,1,5.012746095657349,0.6597460956573489,1,0,4.051,0,79,1,4.353,180,0,8,16,14,1,13,21,4,2,16,27,2,16,1,25,5,18,12,back
79,1,Behaviour_MultipleSources,2023-04-24_10-22-48,80,44:03.5,1,5.663254022598267,1.0002540225982663,1,0,4.374,0,80,1,4.663,0,90,5,31,10,2,16,3,1,17,6,25,12,20,17,1,17,26,17,top
80,1,Behaviour_MultipleSources,2023-04-24_10-22-48,81,44:13.8,1,5.6069090366363525,0.8229090366363527,1,0,4.656,0,81,1,4.784,72,0,5,13,11,11,7,16,12,17,1,19,4,20,17,1,17,26,17,right
81,1,Behaviour_MultipleSources,2023-04-24_10-22-48,82,44:24.1,1,,,2,0,4.893,0,82,0,4.729,72,0,5,13,3,31,6,8,5,18,4,19,13,20,17,1,17,26,17,right
82,1,Behaviour_MultipleSources,2023-04-24_10-22-48,83,44:34.4,1,4.555834054946899,0.1648340549468994,1,0,4.062,0,83,1,4.391,252,0,8,18,3,12,7,6,2,27,8,22,1,4,16,8,6,25,13,left
83,1,Behaviour_MultipleSources,2023-04-24_10-22-48,84,44:44.3,1,,,2,0,4.781,0,84,0,4.644,0,0,6,11,10,12,16,28,5,4,13,18,7,19,15,20,17,1,17,front
