wav_number,Change,TargetOnset,Sources,Mono,sL1,sF1,sA1,sE1,sL2,sF2,sA2,sE2,sL3,sF3,sA3,sE3,sL4,sF4,sA4,sE4,sL5,sF5,sA5,sE5,sL6,sF6,sA6,sE6,sL7,sF7,sA7,sE7,sL8,sF8,sA8,sE8,subject,test_type,datestr
274,1,4.0,6,0,18,7,252,0,1,16,342,-56,13,1,72,0,14,11,108,0,8,6,162,-32,19,4,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
275,1,4.0,6,0,11,10,0,0,27,5,54,56,15,6,144,0,16,8,180,0,24,2,234,32,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
276,0,4.0,6,0,18,10,252,0,21,1,18,32,13,2,72,0,28,8,126,56,16,3,180,0,20,16,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
277,1,4.0,6,0,13,10,72,0,1,8,342,-56,15,2,144,0,29,12,198,56,18,5,252,0,19,3,288,0,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
278,0,4.0,6,0,31,9,0,90,13,12,72,0,3,8,126,-56,8,4,162,-32,9,11,234,-32,20,5,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
279,0,4.0,6,0,16,14,180,0,21,5,18,32,13,8,72,0,28,11,126,56,24,16,234,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
280,0,4.0,6,0,18,7,252,0,11,11,0,0,22,6,90,32,14,16,108,0,16,1,180,0,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
281,1,4.0,6,0,18,9,252,0,21,4,18,32,22,12,90,32,14,5,108,0,29,2,198,56,10,6,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
282,1,4.0,6,0,13,7,72,0,31,12,0,90,28,11,126,56,16,8,180,0,24,2,234,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
283,1,4.0,6,0,11,9,0,0,22,5,90,32,15,12,144,0,8,2,162,-32,17,1,216,0,25,11,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
284,1,4.0,6,0,16,14,180,0,26,5,342,56,2,11,54,-56,3,2,126,-56,9,12,234,-32,19,4,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
285,1,4.0,6,0,11,9,0,0,7,12,90,-32,14,2,108,0,23,8,162,32,24,4,234,32,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
286,1,4.0,6,0,18,10,252,0,11,5,0,0,13,11,72,0,3,12,126,-56,23,1,162,32,10,4,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
287,0,4.0,6,0,13,14,72,0,6,5,18,-32,3,16,126,-56,16,2,180,0,18,11,252,0,20,12,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
288,0,4.0,6,0,18,9,252,0,26,6,342,56,22,16,90,32,28,3,126,56,23,8,162,32,25,4,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
289,1,4.0,6,0,18,14,252,0,21,8,18,32,22,12,90,32,28,6,126,56,29,11,198,56,20,3,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
290,0,4.0,6,0,18,10,252,0,21,4,18,32,27,5,54,56,3,16,126,-56,4,12,198,-56,20,8,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
291,1,4.0,6,0,31,15,0,90,22,1,90,32,3,5,126,-56,29,11,198,56,9,4,234,-32,10,3,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
292,1,4.0,6,0,18,9,252,0,11,11,0,0,27,1,54,56,15,3,144,0,29,16,198,56,19,8,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
293,0,4.0,6,0,18,9,252,0,1,11,342,-56,2,12,54,-56,15,1,144,0,4,16,198,-56,10,5,306,-32,20,17,324,0,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
294,1,4.0,6,0,13,9,72,0,31,5,0,90,3,8,126,-56,23,12,162,32,30,1,270,56,10,11,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
295,0,4.0,6,0,11,7,0,0,13,8,72,0,28,4,126,56,8,16,162,-32,9,1,234,-32,25,2,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
296,0,4.0,6,0,16,10,180,0,21,16,18,32,12,4,36,0,3,5,126,-56,24,11,234,32,19,3,288,0,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
297,1,4.0,6,0,18,7,252,0,31,11,0,90,12,6,36,0,14,8,108,0,29,12,198,56,25,16,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
298,1,4.0,6,0,18,14,252,0,11,11,0,0,12,16,36,0,28,3,126,56,8,4,162,-32,10,2,306,-32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
299,0,4.0,6,0,11,9,0,0,27,11,54,56,28,1,126,56,29,4,198,56,24,5,234,32,25,6,306,32,20,17,324,0,1,17,342,-56,P0107,binaural,2024-06-04_13-50-10
300,1,4.0,6,0,31,9,0,90,7,2,90,-32,15,1,144,0,29,8,198,56,9,16,234,-32,20,11,324,0,1,17,342,-56,26,17,342,56,P0107,binaural,2024-06-04_13-50-10
